domain,count
pubmed.ncbi.nlm.nih.gov,59
plandisney.disney.go.com,53
telegraph.co.uk,46
ibtimes.co.uk,43
cbsnews.com,42
latimes.com,38
sciencedaily.com,38
prweb.com,38
timesofindia.indiatimes.com,37
publications.parliament.uk,33
techradar.com,32
foxnews.com,32
gofundme.com,32
community.oracle.com,29
csmonitor.com,29
aljazeera.com,29
dev.to,28
jalopnik.com,27
digitaltrends.com,27
forum.trains.com,26
chromewebstore.google.com,26
github.com,26
themoscowtimes.com,25
books.apple.com,25
pure.psu.edu,25
thedailystar.net,25
business-standard.com,25
economictimes.indiatimes.com,24
salon.com,24
soundbetter.com,24
looper.com,24
slashgear.com,24
entrepreneur.com,23
techtimes.com,23
themighty.com,23
soompi.com,23
arxiv.org,23
deseret.com,23
marieclaire.com,23
elitedaily.com,22
dawn.com,22
pcgamer.com,22
tastingtable.com,22
thedailyguardian.com,22
abcnews.go.com,21
gov.scot,21
techcommunity.microsoft.com,21
instructables.com,21
theregister.com,21
hellomagazine.com,21
smithsonianmag.com,21
myemail.constantcontact.com,21
ibtimes.com,21
h30434.www3.hp.com,21
windowscentral.com,21
hubpages.com,20
thedailybeast.com,20
techtarget.com,20
globalnews.ca,20
thehimalayantimes.com,20
ttlc.intuit.com,20
chinadaily.com.cn,20
longislandpress.com,20
ojp.gov,20
hansard.parliament.uk,19
us.blastingnews.com,19
theodysseyonline.com,19
consumersearch.com,19
marketplace.org,19
newarab.com,19
codes.findlaw.com,19
interviewguy.com,19
play.google.com,19
artchive.com,19
sites.google.com,19
mic.com,19
helpnetsecurity.com,18
researchgate.net,18
ucl.ac.uk,18
forward.com,18
prospect.org,18
thepostmillennial.com,18
dailykos.com,18
marketoracle.co.uk,17
3aw.com.au,17
tomshardware.com,17
community.verizon.com,17
siliconera.com,17
tomsguide.com,17
redstate.com,17
newindianexpress.com,17
peoplesworld.org,17
wildcat.arizona.edu,17
ai.harvardartmuseums.org,17
tmz.com,17
community.thriveglobal.com,17
businessforhome.org,17
nps.gov,17
cambridge.org,17
inverse.com,17
